opportunity_id,primary_savings_model_id,secondary_savings_model_ids,value_roles,business_relevance,affected_bill_types,required_bill_fields,optional_bill_fields,required_non_bill_inputs,incentive_value_method,project_cost_estimation_method,calculation_readiness,confidence,manual_review_required
"SOURCE_DSIRE:dsire_program_id:5751","pace_or_on_bill_financing","","financing","mixed","none","project_cost_estimate|financing_term_years|interest_rate","ownership_status|down_payment|annual_electric_cost|annual_gas_cost","ownership_status","financing","contractor_quote_required","needs_quote","high","true"
"SOURCE_DSIRE:dsire_program_id:5523","net_metering_or_export_value","solar_electric_offset","bill_savings|policy_or_permitting","mixed","electric","annual_kwh|monthly_kwh|rate_schedule","time_of_use_periods|generation_charges|delivery_charges|demand_charges","equipment_category|roof_area","unknown","unknown","policy_only","low","true"
"SOURCE_DSIRE:dsire_program_id:2489","whole_building_custom_efficiency","hvac_electric_efficiency|gas_usage_reduction|motor_vfd_efficiency|controls_building_automation|water_sewer_reduction","bill_savings|upfront_cost_reduction","residential_only","electric|gas|water_sewer","annual_kwh|annual_electric_cost|average_cost_per_kwh","annual_therms|average_cost_per_therm|peak_kw|demand_charge_rate|square_footage|monthly_kwh|demand_charges|rate_schedule|monthly_therms|gas_rate_schedule|time_of_use_periods|monthly_water_use|water_unit|sewer_cost|meter_size|irrigation_meter_present","project_cost_estimate|equipment_category","per_kwh_saved","benchmark_range","needs_bill","low","true"
"SOURCE_DSIRE:dsire_program_id:1255","net_metering_or_export_value","solar_electric_offset","bill_savings|policy_or_permitting","mixed","electric","annual_kwh|monthly_kwh|rate_schedule","time_of_use_periods|generation_charges|delivery_charges|demand_charges","equipment_category|roof_area","unknown","unknown","policy_only","low","true"
"SOURCE_DSIRE:dsire_program_id:22327","fleet_fuel_replacement","ev_charging_site_load","bill_savings|upfront_cost_reduction","mixed","fuel|electric","annual_gallons|annual_fuel_cost|average_cost_per_gallon|vehicle_count","estimated_miles|fuel_type|monthly_fuel_cost|rate_schedule|average_cost_per_kwh|peak_kw|demand_charge_rate|time_of_use_periods","vehicle_count","per_unit","cost_per_unit","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:22358","ev_charging_site_load","project_cost_reduction_only","bill_savings|upfront_cost_reduction","mixed","electric|none","rate_schedule|annual_kwh|average_cost_per_kwh","peak_kw|demand_charge_rate|time_of_use_periods|contractor_quote_amount|quote_date","parking_spaces|ownership_status|equipment_category","per_unit","cost_per_unit","needs_quote","medium","true"
"SOURCE_DSIRE:dsire_program_id:3880","commercial_kitchen_equipment_efficiency","water_sewer_reduction","bill_savings|upfront_cost_reduction","business_relevant","electric|water_sewer","annual_kwh|annual_electric_cost|average_cost_per_kwh","annual_therms|average_cost_per_therm|annual_water_use|annual_water_cost|annual_sewer_cost|monthly_water_use|water_unit|sewer_cost|meter_size|irrigation_meter_present","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:5882","sales_or_property_tax_exemption","solar_electric_offset|hvac_electric_efficiency|motor_vfd_efficiency","bill_savings|tax_benefit","mixed","none|electric","project_cost_estimate","ownership_status|tax_entity_type|contractor_quote_amount|time_of_use_periods|demand_charges|generation_charges|delivery_charges|monthly_kwh|peak_kw|rate_schedule|demand_charge_rate","equipment_category","tax_exemption","benchmark_range","needs_tax_review","medium","true"
"SOURCE_DSIRE:dsire_program_id:22437","financing_cash_flow","hvac_electric_efficiency|gas_usage_reduction|motor_vfd_efficiency","bill_savings|financing","residential_only","none|electric|gas","project_cost_estimate|interest_rate|financing_term_years","down_payment|contractor_quote_amount|monthly_kwh|peak_kw|demand_charges|rate_schedule|monthly_therms|gas_rate_schedule|demand_charge_rate","equipment_category","financing","contractor_quote_required","needs_quote","low","true"
"SOURCE_DSIRE:dsire_program_id:5892","grant_funding","","upfront_cost_reduction","business_relevant","none","project_cost_estimate","contractor_quote_amount","equipment_category|project_timing","grant_amount","contractor_quote_required","needs_quote","high","false"
